Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total_Charges,Churn Label,Churn Value,Churn Score,CLTV
1,0,0,562,90003,327,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,1,86,3239
1,0,0,562,90005,405,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,1,67,2701
1,0,0,562,90006,393,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,1,86,5372
1,0,0,562,90010,410,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,1,84,5003
1,0,0,562,90015,385,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,1,89,5340
1,0,0,562,90020,416,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,1,78,5925
1,0,0,562,90022,367,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,1,100,5433
1,0,0,562,90024,415,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,1,92,4832
1,0,0,562,90028,447,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,1,77,5789
1,0,0,562,90029,440,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,1,97,2915
1,0,0,562,90032,428,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,74,3022
1,0,0,562,90039,462,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,1,66,2454
1,0,0,562,90041,483,34.137412,-118.207607,1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,1,65,2941
1,0,0,562,90042,465,34.11572,-118.192754,0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,1,70,5674
1,0,0,562,90056,340,33.987945,-118.370442,0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,1,90,5586
1,0,0,562,90061,296,33.92128,-118.274186,0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1,82,2966
1,0,0,562,90063,388,34.044271,-118.185237,0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,1,69,5302
1,0,0,562,90065,458,34.108833,-118.229715,1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1,81,3179
1,0,0,77,90211,411,34.063947,-118.383001,0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,1,96,5571
1,0,0,442,90255,338,33.97803,-118.217141,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,1,87,2483
1,0,0,575,90262,299,33.923573,-118.200669,0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,1,70,3457
1,0,0,592,90292,337,33.977468,-118.445475,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,1,86,5806
1,0,0,453,90301,323,33.956445,-118.358634,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,1,66,2604
1,0,0,453,90303,308,33.936291,-118.332639,0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,1,88,5337
1,0,0,906,90403,378,34.031529,-118.491156,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,1,86,5034
1,0,0,1019,90504,259,33.867257,-118.330794,1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,1,75,5154
1,0,0,1094,90602,330,33.972119,-118.020188,0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,1,67,2793
1,0,0,1094,90606,335,33.976678,-118.065875,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,1,87,5998
1,0,0,493,90631,311,33.940619,-117.9513,1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,1,76,4415
1,0,0,766,90660,343,33.989524,-118.089299,0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,1,95,4638
1,0,0,49,90704,109,33.391181,-118.421305,0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,1,99,4190
